Row ID,order_id,order_date,ship_date,ship_mode,customer_id,customer_name,Segment,Country,City,State,postal_code,Region,product_id,Category,sub_category,product_name,Sales,Quantity,Discount,Profit,year_month,delivery_days
14,CA-2016-161389,05-12-2016,10-12-2016,Standard Class,IM-15070,Irene Maddox,Consumer,United States,Seattle,Washington,98103,West,OFF-BI-10003656,Office Supplies,Binders,Fellowes PB200 Plastic Comb Binding Machine,408,3,0.20,133,2016-12,5
17,CA-2014-105893,11-11-2014,18-11-2014,Standard Class,PK-19075,Pete Kriz,Consumer,United States,Madison,Wisconsin,53711,Central,OFF-ST-10004186,Office Supplies,Storage,"Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D",666,6,0.00,13,2014-11,7
22,CA-2016-137330,09-12-2016,13-12-2016,Standard Class,KB-16585,Ken Black,Corporate,United States,Fremont,Nebraska,68025,Central,OFF-AR-10000246,Office Supplies,Art,Newell 318,19,7,0.00,5,2016-12,4
23,CA-2016-137330,09-12-2016,13-12-2016,Standard Class,KB-16585,Ken Black,Corporate,United States,Fremont,Nebraska,68025,Central,OFF-AP-10001492,Office Supplies,Appliances,"Acco Six-Outlet Power Strip, 4' Cord Length",60,7,0.00,16,2016-12,4
36,CA-2016-117590,08-12-2016,10-12-2016,First Class,GH-14485,Gene Hale,Corporate,United States,Richardson,Texas,75080,Central,TEC-PH-10004977,Technology,Phones,GE 30524EE4,1098,7,0.20,123,2016-12,2
37,CA-2016-117590,08-12-2016,10-12-2016,First Class,GH-14485,Gene Hale,Corporate,United States,Richardson,Texas,75080,Central,FUR-FU-10003664,Furniture,Furnishings,"Electrix Architect's Clamp-On Swing Arm Lamp, Black",191,5,0.60,-148,2016-12,2
42,CA-2017-120999,10-09-2017,15-09-2017,Standard Class,LC-16930,Linda Cazamias,Corporate,United States,Naperville,Illinois,60540,Central,TEC-PH-10004093,Technology,Phones,Panasonic Kx-TS550,147,4,0.20,17,2017-09,5
45,CA-2016-118255,11-03-2016,13-03-2016,First Class,ON-18715,Odella Nelson,Corporate,United States,Eagan,Minnesota,55122,Central,TEC-AC-10000171,Technology,Accessories,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 25/Pack",46,2,0.00,20,2016-03,2
46,CA-2016-118255,11-03-2016,13-03-2016,First Class,ON-18715,Odella Nelson,Corporate,United States,Eagan,Minnesota,55122,Central,OFF-BI-10003291,Office Supplies,Binders,Wilson Jones Leather-Like Binders with DublLock Round Rings,17,2,0.00,8,2016-03,2
54,CA-2016-105816,11-12-2016,17-12-2016,Standard Class,JM-15265,Janet Molinari,Corporate,United States,New York City,New York,10024,East,OFF-FA-10000304,Office Supplies,Fasteners,Advantus Push Pins,15,7,0.00,6,2016-12,6
55,CA-2016-105816,11-12-2016,17-12-2016,Standard Class,JM-15265,Janet Molinari,Corporate,United States,New York City,New York,10024,East,TEC-PH-10002447,Technology,Phones,AT&T CL83451 4-Handset Telephone,1030,5,0.00,299,2016-12,6
68,CA-2014-106376,05-12-2014,10-12-2014,Standard Class,BS-11590,Brendan Sweed,Corporate,United States,Gilbert,Arizona,85234,West,OFF-AR-10002671,Office Supplies,Art,"Hunt BOSTON Model 1606 High-Volume Electric Pencil Sharpener, Beige",1113,8,0.20,111,2014-12,5
69,CA-2014-106376,05-12-2014,10-12-2014,Standard Class,BS-11590,Brendan Sweed,Corporate,United States,Gilbert,Arizona,85234,West,TEC-PH-10002726,Technology,Phones,netTALK DUO VoIP Telephone Service,168,4,0.20,63,2014-12,5
70,CA-2016-119823,04-06-2016,06-06-2016,First Class,KD-16270,Karen Daniels,Consumer,United States,Springfield,Virginia,22153,South,OFF-PA-10000482,Office Supplies,Paper,"Snap-A-Way Black Print Carbonless Ruled Speed Letter, Triplicate",76,2,0.00,36,2016-06,2
76,US-2017-118038,09-12-2017,11-12-2017,First Class,KB-16600,Ken Brennan,Corporate,United States,Houston,Texas,77041,Central,OFF-BI-10004182,Office Supplies,Binders,Economy Binders,1,3,0.80,-2,2017-12,2
77,US-2017-118038,09-12-2017,11-12-2017,First Class,KB-16600,Ken Brennan,Corporate,United States,Houston,Texas,77041,Central,FUR-FU-10000260,Furniture,Furnishings,"6"" Cubicle Wall Clock, Black",10,3,0.60,-6,2017-12,2
78,US-2017-118038,09-12-2017,11-12-2017,First Class,KB-16600,Ken Brennan,Corporate,United States,Houston,Texas,77041,Central,OFF-ST-10000615,Office Supplies,Storage,"SimpliFile Personal File, Black Granite, 15w x 6-15/16d x 11-1/4h",27,3,0.20,3,2017-12,2
80,CA-2016-127208,12-06-2016,15-06-2016,First Class,SC-20770,Stewart Carmichael,Corporate,United States,Decatur,Alabama,35601,South,OFF-AP-10002118,Office Supplies,Appliances,"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",208,1,0.00,56,2016-06,3
81,CA-2016-127208,12-06-2016,15-06-2016,First Class,SC-20770,Stewart Carmichael,Corporate,United States,Decatur,Alabama,35601,South,OFF-BI-10002309,Office Supplies,Binders,Avery Heavy-Duty EZD  Binder With Locking Rings,17,3,0.00,8,2016-06,3
82,CA-2014-139451,12-10-2014,16-10-2014,Standard Class,DN-13690,Duane Noonan,Consumer,United States,San Francisco,California,94122,West,OFF-AR-10002053,Office Supplies,Art,"Premium Writing Pencils, Soft, #2 by Central Association for the Blind",15,5,0.00,4,2014-10,4
83,CA-2014-139451,12-10-2014,16-10-2014,Standard Class,DN-13690,Duane Noonan,Consumer,United States,San Francisco,California,94122,West,OFF-ST-10002370,Office Supplies,Storage,"Sortfiler Multipurpose Personal File Organizer, Black",21,1,0.00,6,2014-10,4
84,CA-2015-149734,03-09-2015,08-09-2015,Standard Class,JC-16105,Julie Creighton,Corporate,United States,Durham,North Carolina,27707,South,OFF-EN-10000927,Office Supplies,Envelopes,Jet-Pak Recycled Peel 'N' Seal Padded Mailers,201,7,0.20,63,2015-09,5
89,CA-2016-159695,05-04-2016,10-04-2016,Second Class,GM-14455,Gary Mitchum,Home Office,United States,Houston,Texas,77095,Central,OFF-ST-10003442,Office Supplies,Storage,Eldon Portable Mobile Manager,158,7,0.20,14,2016-04,5
96,US-2017-109484,06-11-2017,12-11-2017,Standard Class,RB-19705,Roger Barcio,Home Office,United States,Portland,Oregon,97206,West,OFF-BI-10004738,Office Supplies,Binders,Flexible Leather- Look Classic Collection Ring Binder,6,1,0.70,-4,2017-11,6
97,CA-2017-161018,09-11-2017,11-11-2017,Second Class,PN-18775,Parhena Norris,Home Office,United States,New York City,New York,10009,East,FUR-FU-10000629,Furniture,Furnishings,9-3/4 Diameter Round Wall Clock,97,7,0.00,41,2017-11,2
99,CA-2016-149223,06-09-2016,11-09-2016,Standard Class,ER-13855,Elpida Rittenbach,Corporate,United States,Saint Paul,Minnesota,55106,Central,OFF-AP-10000358,Office Supplies,Appliances,Fellowes Basic Home/Office Series Surge Protectors,78,6,0.00,23,2016-09,5
103,CA-2016-129903,01-12-2016,04-12-2016,Second Class,GZ-14470,Gary Zandusky,Consumer,United States,Rochester,Minnesota,55901,Central,OFF-PA-10004040,Office Supplies,Paper,Universal Premium White Copier/Laser Paper (20Lb. and 87 Bright),24,4,0.00,12,2016-12,3
112,CA-2016-128867,03-11-2016,10-11-2016,Standard Class,CL-12565,Clay Ludtke,Consumer,United States,Urbandale,Iowa,50322,Central,OFF-AR-10000380,Office Supplies,Art,"Hunt PowerHouse Electric Pencil Sharpener, Blue",76,2,0.00,23,2016-11,7
113,CA-2016-128867,03-11-2016,10-11-2016,Standard Class,CL-12565,Clay Ludtke,Consumer,United States,Urbandale,Iowa,50322,Central,OFF-BI-10003981,Office Supplies,Binders,"Avery Durable Plastic 1"" Binders",27,6,0.00,13,2016-11,7
118,CA-2015-110457,02-03-2015,06-03-2015,Standard Class,DK-13090,Dave Kipp,Consumer,United States,Seattle,Washington,98103,West,FUR-TA-10001768,Furniture,Tables,Hon Racetrack Conference Tables,788,3,0.00,165,2015-03,4
119,US-2015-136476,05-04-2015,10-04-2015,Standard Class,GG-14650,Greg Guthrie,Corporate,United States,Bristol,Tennessee,37620,South,OFF-BI-10003650,Office Supplies,Binders,GBC DocuBind 300 Electric Binding Machine,158,1,0.70,-116,2015-04,5
120,CA-2016-103730,12-06-2016,15-06-2016,First Class,SC-20725,Steven Cartwright,Consumer,United States,Wilmington,Delaware,19805,East,FUR-FU-10002157,Furniture,Furnishings,Artistic Insta-Plaque,47,3,0.00,18,2016-06,3
121,CA-2016-103730,12-06-2016,15-06-2016,First Class,SC-20725,Steven Cartwright,Consumer,United States,Wilmington,Delaware,19805,East,OFF-BI-10003910,Office Supplies,Binders,DXL Angle-View Binders with Locking Rings by Samsill,31,4,0.00,14,2016-06,3
122,CA-2016-103730,12-06-2016,15-06-2016,First Class,SC-20725,Steven Cartwright,Consumer,United States,Wilmington,Delaware,19805,East,OFF-ST-10000777,Office Supplies,Storage,"Companion Letter/Legal File, Black",227,6,0.00,63,2016-06,3
123,CA-2016-103730,12-06-2016,15-06-2016,First Class,SC-20725,Steven Cartwright,Consumer,United States,Wilmington,Delaware,19805,East,OFF-EN-10002500,Office Supplies,Envelopes,Globe Weis Peel & Seel First Class Envelopes,115,9,0.00,52,2016-06,3
124,CA-2016-103730,12-06-2016,15-06-2016,First Class,SC-20725,Steven Cartwright,Consumer,United States,Wilmington,Delaware,19805,East,TEC-PH-10003875,Technology,Phones,KLD Oscar II Style Snap-on Ultra Thin Side Flip Synthetic Leather Cover Case for HTC One HTC M7,68,7,0.00,20,2016-06,3
127,US-2017-107272,05-11-2017,12-11-2017,Standard Class,TS-21610,Troy Staebel,Consumer,United States,Phoenix,Arizona,85023,West,OFF-BI-10003274,Office Supplies,Binders,"Avery Durable Slant Ring Binders, No Labels",2,2,0.70,-2,2017-11,7
128,US-2017-107272,05-11-2017,12-11-2017,Standard Class,TS-21610,Troy Staebel,Consumer,United States,Phoenix,Arizona,85023,West,OFF-ST-10002974,Office Supplies,Storage,"Trav-L-File Heavy-Duty Shuttle II, Black",244,7,0.20,30,2017-11,7
129,US-2016-125969,06-11-2016,10-11-2016,Second Class,LS-16975,Lindsay Shagiari,Home Office,United States,Los Angeles,California,90004,West,FUR-CH-10001146,Furniture,Chairs,"Global Task Chair, Black",81,2,0.20,-9,2016-11,4
130,US-2016-125969,06-11-2016,10-11-2016,Second Class,LS-16975,Lindsay Shagiari,Home Office,United States,Los Angeles,California,90004,West,FUR-FU-10003773,Furniture,Furnishings,Eldon Cleatmat Plus Chair Mats for High Pile Carpets,239,3,0.00,26,2016-11,4
131,US-2017-164147,02-02-2017,05-02-2017,First Class,DW-13585,Dorothy Wardle,Corporate,United States,Columbus,Ohio,43229,East,TEC-PH-10002293,Technology,Phones,Anker 36W 4-Port USB Wall Charger Travel Power Adapter for iPhone 5s 5c 5,60,5,0.40,-12,2017-02,3
132,US-2017-164147,02-02-2017,05-02-2017,First Class,DW-13585,Dorothy Wardle,Corporate,United States,Columbus,Ohio,43229,East,OFF-PA-10002377,Office Supplies,Paper,Xerox 1916,78,2,0.20,29,2017-02,3
133,US-2017-164147,02-02-2017,05-02-2017,First Class,DW-13585,Dorothy Wardle,Corporate,United States,Columbus,Ohio,43229,East,OFF-FA-10002780,Office Supplies,Fasteners,Staples,21,9,0.20,7,2017-02,3
141,CA-2016-110366,05-09-2016,07-09-2016,Second Class,JD-15895,Jonathan Doherty,Corporate,United States,Philadelphia,Pennsylvania,19140,East,FUR-FU-10004848,Furniture,Furnishings,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",83,2,0.20,10,2016-09,2
146,CA-2015-110744,07-09-2015,12-09-2015,Standard Class,HA-14920,Helen Andreada,Consumer,United States,Pasadena,California,91104,West,OFF-ST-10003656,Office Supplies,Storage,Safco Industrial Wire Shelving,672,7,0.00,20,2015-09,5
148,CA-2016-114489,05-12-2016,09-12-2016,Standard Class,JE-16165,Justin Ellison,Corporate,United States,Franklin,Wisconsin,53132,Central,TEC-PH-10000215,Technology,Phones,Plantronics CordlessÂ Phone HeadsetÂ with In-line Volume - M214C,384,11,0.00,104,2016-12,4
149,CA-2016-114489,05-12-2016,09-12-2016,Standard Class,JE-16165,Justin Ellison,Corporate,United States,Franklin,Wisconsin,53132,Central,TEC-PH-10001448,Technology,Phones,Anker Astro 15000mAh USB Portable Charger,150,3,0.00,6,2016-12,4
150,CA-2016-114489,05-12-2016,09-12-2016,Standard Class,JE-16165,Justin Ellison,Corporate,United States,Franklin,Wisconsin,53132,Central,FUR-CH-10000454,Furniture,Chairs,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",1952,8,0.00,586,2016-12,4
151,CA-2016-114489,05-12-2016,09-12-2016,Standard Class,JE-16165,Justin Ellison,Corporate,United States,Franklin,Wisconsin,53132,Central,OFF-BI-10002735,Office Supplies,Binders,GBC Prestige Therm-A-Bind Covers,172,5,0.00,81,2016-12,4
158,CA-2014-104269,01-03-2014,06-03-2014,Second Class,DB-13060,Dave Brooks,Consumer,United States,Seattle,Washington,98115,West,FUR-CH-10004063,Furniture,Chairs,Global Deluxe High-Back Manager's Chair,458,2,0.20,51,2014-03,5
161,CA-2016-162733,11-05-2016,12-05-2016,First Class,TT-21070,Ted Trevino,Consumer,United States,Los Angeles,California,90045,West,OFF-PA-10002751,Office Supplies,Paper,Xerox 1920,6,1,0.00,3,2016-05,1
164,CA-2016-113817,07-11-2016,11-11-2016,Standard Class,MJ-17740,Max Jones,Consumer,United States,Seattle,Washington,98115,West,OFF-BI-10004002,Office Supplies,Binders,Wilson Jones International Size A4 Ring Binders,28,2,0.20,10,2016-11,4
165,CA-2014-139892,08-09-2014,12-09-2014,Standard Class,BM-11140,Becky Martin,Consumer,United States,San Antonio,Texas,78207,Central,OFF-AR-10004441,Office Supplies,Art,BIC Brite Liner Highlighters,10,3,0.20,3,2014-09,4
166,CA-2014-139892,08-09-2014,12-09-2014,Standard Class,BM-11140,Becky Martin,Consumer,United States,San Antonio,Texas,78207,Central,TEC-MA-10000822,Technology,Machines,Lexmark MX611dhe Monochrome Laser Printer,8160,8,0.40,-1360,2014-09,4
167,CA-2014-139892,08-09-2014,12-09-2014,Standard Class,BM-11140,Becky Martin,Consumer,United States,San Antonio,Texas,78207,Central,OFF-ST-10000991,Office Supplies,Storage,Space Solutions HD Industrial Steel Shelving.,276,3,0.20,-59,2014-09,4
168,CA-2014-139892,08-09-2014,12-09-2014,Standard Class,BM-11140,Becky Martin,Consumer,United States,San Antonio,Texas,78207,Central,FUR-CH-10004287,Furniture,Chairs,SAFCO Arco Folding Chair,1740,9,0.30,-25,2014-09,4
169,CA-2014-139892,08-09-2014,12-09-2014,Standard Class,BM-11140,Becky Martin,Consumer,United States,San Antonio,Texas,78207,Central,OFF-AR-10002656,Office Supplies,Art,Sanford Liquid Accent Highlighters,32,6,0.20,7,2014-09,4
170,CA-2014-139892,08-09-2014,12-09-2014,Standard Class,BM-11140,Becky Martin,Consumer,United States,San Antonio,Texas,78207,Central,OFF-AP-10002518,Office Supplies,Appliances,Kensington 7 Outlet MasterPiece Power Center,178,5,0.80,-454,2014-09,4
171,CA-2014-139892,08-09-2014,12-09-2014,Standard Class,BM-11140,Becky Martin,Consumer,United States,San Antonio,Texas,78207,Central,TEC-PH-10003931,Technology,Phones,JBL Micro Wireless Portable Bluetooth Speaker,144,3,0.20,9,2014-09,4
172,CA-2014-118962,05-08-2014,09-08-2014,Standard Class,CS-12130,Chad Sievert,Consumer,United States,Los Angeles,California,90004,West,OFF-PA-10000659,Office Supplies,Paper,"Adams Phone Message Book, Professional, 400 Message Capacity, 5 3/6Â” x 11Â”",21,3,0.00,10,2014-08,4
173,CA-2014-118962,05-08-2014,09-08-2014,Standard Class,CS-12130,Chad Sievert,Consumer,United States,Los Angeles,California,90004,West,OFF-PA-10001144,Office Supplies,Paper,Xerox 1913,111,2,0.00,53,2014-08,4
174,CA-2014-118962,05-08-2014,09-08-2014,Standard Class,CS-12130,Chad Sievert,Consumer,United States,Los Angeles,California,90004,West,FUR-CH-10003817,Furniture,Chairs,"Global Value Steno Chair, Gray",340,7,0.20,21,2014-08,4
181,CA-2014-166191,05-12-2014,09-12-2014,Second Class,DK-13150,David Kendrick,Corporate,United States,Decatur,Illinois,62521,Central,OFF-ST-10003455,Office Supplies,Storage,"Tenex File Box, Personal Filing Tote with Lid, Black",25,2,0.20,2,2014-12,4
182,CA-2014-166191,05-12-2014,09-12-2014,Second Class,DK-13150,David Kendrick,Corporate,United States,Decatur,Illinois,62521,Central,TEC-AC-10004659,Technology,Accessories,ImationÂ Secure+ Hardware Encrypted USB 2.0Â Flash Drive; 16GB,409,7,0.20,77,2014-12,4
190,CA-2015-102281,12-10-2015,14-10-2015,First Class,MP-17470,Mark Packer,Home Office,United States,New York City,New York,10035,East,FUR-BO-10002613,Furniture,Bookcases,"Atlantic Metals Mobile 4-Shelf Bookcases, Custom Colors",899,4,0.20,112,2015-10,2
191,CA-2015-102281,12-10-2015,14-10-2015,First Class,MP-17470,Mark Packer,Home Office,United States,New York City,New York,10035,East,TEC-PH-10001552,Technology,Phones,I Need's 3d Hello Kitty Hybrid Silicone Case Cover for HTC One X 4g with 3d Hello Kitty Stylus Pen Green/pink,72,6,0.00,20,2015-10,2
192,CA-2015-102281,12-10-2015,14-10-2015,First Class,MP-17470,Mark Packer,Home Office,United States,New York City,New York,10035,East,OFF-PA-10000061,Office Supplies,Paper,Xerox 205,52,8,0.00,25,2015-10,2
193,CA-2015-102281,12-10-2015,14-10-2015,First Class,MP-17470,Mark Packer,Home Office,United States,New York City,New York,10035,East,FUR-BO-10002545,Furniture,Bookcases,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",626,3,0.20,47,2015-10,2
194,CA-2015-102281,12-10-2015,14-10-2015,First Class,MP-17470,Mark Packer,Home Office,United States,New York City,New York,10035,East,OFF-AR-10003514,Office Supplies,Art,4009 Highlighters by Sanford,20,5,0.00,7,2015-10,2
198,CA-2017-107720,06-11-2017,13-11-2017,Standard Class,VM-21685,Valerie Mitchum,Home Office,United States,Westfield,New Jersey,7090,East,OFF-ST-10001414,Office Supplies,Storage,Decoflex Hanging Personal Folder File,46,3,0.00,12,2017-11,7
199,US-2017-124303,06-07-2017,13-07-2017,Standard Class,FH-14365,Fred Hopkins,Corporate,United States,Philadelphia,Pennsylvania,19120,East,OFF-BI-10000343,Office Supplies,Binders,"Pressboard Covers with Storage Hooks, 9 1/2"" x 11"", Light Blue",3,2,0.70,-2,2017-07,7
200,US-2017-124303,06-07-2017,13-07-2017,Standard Class,FH-14365,Fred Hopkins,Corporate,United States,Philadelphia,Pennsylvania,19120,East,OFF-PA-10002749,Office Supplies,Paper,"Wirebound Message Books, 5-1/2 x 4 Forms, 2 or 4 Forms per Page",16,3,0.20,6,2017-07,7
202,CA-2014-133690,03-08-2014,05-08-2014,First Class,BS-11755,Bruce Stewart,Consumer,United States,Denver,Colorado,80219,West,FUR-TA-10004289,Furniture,Tables,BoxOffice By Design Rectangular and Half-Moon Meeting Room Tables,219,2,0.50,-162,2014-08,2
203,CA-2014-133690,03-08-2014,05-08-2014,First Class,BS-11755,Bruce Stewart,Consumer,United States,Denver,Colorado,80219,West,OFF-AP-10003622,Office Supplies,Appliances,"Bravo II Megaboss 12-Amp Hard Body Upright, Replacement Belts, 2 Belts per Pack",3,1,0.20,0,2014-08,2
205,CA-2017-126382,03-06-2017,07-06-2017,Standard Class,HK-14890,Heather Kirkland,Corporate,United States,Franklin,Tennessee,37064,South,FUR-FU-10002960,Furniture,Furnishings,"Eldon 200 Class Desk Accessories, Burgundy",35,7,0.20,10,2017-06,4
206,CA-2017-108329,09-12-2017,14-12-2017,Standard Class,LE-16810,Laurel Elliston,Consumer,United States,Whittier,California,90604,West,TEC-PH-10001918,Technology,Phones,Nortel Business Series Terminal T7208 Digital phone,445,4,0.20,44,2017-12,5
207,CA-2017-135860,01-12-2017,07-12-2017,Standard Class,JH-15985,Joseph Holt,Consumer,United States,Saginaw,Michigan,48601,Central,OFF-ST-10000642,Office Supplies,Storage,"Tennsco Lockers, Gray",84,4,0.00,6,2017-12,6
208,CA-2017-135860,01-12-2017,07-12-2017,Standard Class,JH-15985,Joseph Holt,Consumer,United States,Saginaw,Michigan,48601,Central,TEC-PH-10001700,Technology,Phones,Panasonic KX-TG6844B Expandable Digital Cordless Telephone,132,2,0.00,36,2017-12,6
209,CA-2017-135860,01-12-2017,07-12-2017,Standard Class,JH-15985,Joseph Holt,Consumer,United States,Saginaw,Michigan,48601,Central,OFF-BI-10003274,Office Supplies,Binders,"Avery Durable Slant Ring Binders, No Labels",16,4,0.00,7,2017-12,6
210,CA-2017-135860,01-12-2017,07-12-2017,Standard Class,JH-15985,Joseph Holt,Consumer,United States,Saginaw,Michigan,48601,Central,OFF-FA-10000134,Office Supplies,Fasteners,"Advantus Push Pins, Aluminum Head",52,9,0.00,16,2017-12,6
211,CA-2017-135860,01-12-2017,07-12-2017,Standard Class,JH-15985,Joseph Holt,Consumer,United States,Saginaw,Michigan,48601,Central,OFF-ST-10001522,Office Supplies,Storage,"Gould Plastics 18-Pocket Panel Bin, 34w x 5-1/4d x 20-1/2h",92,1,0.00,4,2017-12,6
212,CA-2015-101007,09-02-2015,13-02-2015,Second Class,MS-17980,Michael Stewart,Corporate,United States,Dallas,Texas,75220,Central,TEC-AC-10001266,Technology,Accessories,Memorex Micro Travel Drive 8 GB,21,2,0.20,6,2015-02,4
213,CA-2015-146262,02-01-2015,09-01-2015,Standard Class,VW-21775,Victoria Wilson,Corporate,United States,Medina,Ohio,44256,East,OFF-LA-10004544,Office Supplies,Labels,Avery 505,24,2,0.20,9,2015-01,7
214,CA-2015-146262,02-01-2015,09-01-2015,Standard Class,VW-21775,Victoria Wilson,Corporate,United States,Medina,Ohio,44256,East,FUR-BO-10004695,Furniture,Bookcases,O'Sullivan 2-Door Barrister Bookcase in Odessa Pine,452,5,0.50,-244,2015-01,7
215,CA-2015-146262,02-01-2015,09-01-2015,Standard Class,VW-21775,Victoria Wilson,Corporate,United States,Medina,Ohio,44256,East,TEC-PH-10002844,Technology,Phones,Speck Products Candyshell Flip Case,63,3,0.40,-15,2015-01,7
216,CA-2015-146262,02-01-2015,09-01-2015,Standard Class,VW-21775,Victoria Wilson,Corporate,United States,Medina,Ohio,44256,East,TEC-MA-10000864,Technology,Machines,Cisco 9971 IP Video Phone Charcoal,1188,9,0.70,-950,2015-01,7
217,CA-2015-146262,02-01-2015,09-01-2015,Standard Class,VW-21775,Victoria Wilson,Corporate,United States,Medina,Ohio,44256,East,TEC-AC-10000109,Technology,Accessories,Sony Micro Vault Click 16 GB USB 2.0 Flash Drive,90,2,0.20,4,2015-01,7
226,CA-2015-163055,09-08-2015,16-08-2015,Standard Class,DS-13180,David Smith,Corporate,United States,Detroit,Michigan,48227,Central,OFF-AR-10001026,Office Supplies,Art,"Sanford Uni-Blazer View Highlighters, Chisel Tip, Yellow",2,1,0.00,1,2015-08,7
227,CA-2015-163055,09-08-2015,16-08-2015,Standard Class,DS-13180,David Smith,Corporate,United States,Detroit,Michigan,48227,Central,FUR-TA-10003748,Furniture,Tables,Bevis 36 x 72 Conference Tables,622,5,0.00,137,2015-08,7
228,CA-2015-163055,09-08-2015,16-08-2015,Standard Class,DS-13180,David Smith,Corporate,United States,Detroit,Michigan,48227,Central,OFF-ST-10002485,Office Supplies,Storage,Rogers Deluxe File Chest,22,1,0.00,0,2015-08,7
232,US-2017-100930,07-04-2017,12-04-2017,Standard Class,CS-12400,Christopher Schild,Home Office,United States,Tampa,Florida,33614,South,FUR-TA-10001705,Furniture,Tables,Bush Advantage Collection Round Conference Table,234,2,0.45,-102,2017-04,5
233,US-2017-100930,07-04-2017,12-04-2017,Standard Class,CS-12400,Christopher Schild,Home Office,United States,Tampa,Florida,33614,South,FUR-TA-10003473,Furniture,Tables,Bretford Rectangular Conference Table Tops,621,3,0.45,-248,2017-04,5
234,US-2017-100930,07-04-2017,12-04-2017,Standard Class,CS-12400,Christopher Schild,Home Office,United States,Tampa,Florida,33614,South,OFF-BI-10001679,Office Supplies,Binders,GBC Instant Index System for Binding Systems,5,2,0.70,-4,2017-04,5
235,US-2017-100930,07-04-2017,12-04-2017,Standard Class,CS-12400,Christopher Schild,Home Office,United States,Tampa,Florida,33614,South,FUR-FU-10004017,Furniture,Furnishings,"Tenex Contemporary Contur Chairmats for Low and Medium Pile Carpet, Computer, 39"" x 49""",258,3,0.20,0,2017-04,5
